Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Ave,Upper,Lower
DHFL,EQ,426.65,429.5,434.4,427.05,431.0,431.4,430.94,1160661,500175906.3,15111,295581,25.47,0.0,Slight or No change,,,
DHFL,EQ,431.4,431.0,433.8,421.65,424.05,424.45,425.13,1662805,706915227.6,31644,681320,40.97,-1.6110338433008795,Negative,,,
DHFL,EQ,424.45,424.5,432.5,420.1,428.3,429.0,428.13,1443843,618148331.2,20808,371928,25.76,1.0719754977029041,Positive,,,
DHFL,EQ,429.0,424.95,427.9,416.55,418.5,417.95,422.22,1639654,692300664.05,32812,534358,32.59,-2.575757575757576,Negative,,,
DHFL,EQ,417.95,423.0,426.45,398.65,405.9,404.2,411.93,2693962,1109715622.8,33554,884888,32.85,-3.289867208996289,Among top losers,,,
DHFL,EQ,404.2,408.0,412.15,400.25,403.9,404.0,405.76,1636114,663874862.95,21505,445687,27.24,-0.04948045522018552,Slight or No change,,,
DHFL,EQ,404.0,405.95,411.8,387.2,400.5,402.0,400.48,2322519,930124260.75,30348,489515,21.08,-0.4950495049504955,Slight or No change,,,
DHFL,EQ,402.0,404.8,407.9,392.5,397.5,395.55,399.79,1984614,793435506.3,31616,533717,26.89,-1.6044776119402917,Negative,,,
DHFL,EQ,395.55,397.45,407.6,397.3,404.95,405.5,403.71,3393790,1370107530.85,56100,1958807,57.72,2.5154847680444847,Positive,,,
DHFL,EQ,405.5,411.9,415.45,408.7,411.0,410.65,411.89,2555251,1052480440.75,35435,760344,29.76,1.2700369913686729,Positive,,,
DHFL,EQ,410.65,412.0,419.7,409.95,411.2,410.95,414.27,1944213,805426135.55,37384,578026,29.73,0.07305491294289368,Slight or No change,,,
DHFL,EQ,410.95,411.2,414.0,408.0,412.8,412.15,411.35,1364490,561285704.5,29192,535078,39.21,0.2920063268037509,Slight or No change,,,
DHFL,EQ,412.15,414.45,421.45,412.55,418.0,416.65,417.86,2502720,1045783694.95,55464,969147,38.72,1.091835496785154,Positive,,,
DHFL,EQ,416.65,417.7,419.8,414.0,416.5,416.9,416.54,1364330,568303436.6,40287,516303,37.84,0.060002400096004216,Slight or No change,412.954,433.925,391.982
DHFL,EQ,416.9,418.5,420.5,410.25,413.5,414.25,415.03,1208328,501494025.75,14783,477032,39.48,-0.6356440393379681,Slight negative,411.729,429.871,393.586
DHFL,EQ,414.25,415.0,431.95,414.0,431.55,430.75,426.07,2860841,1218918845.95,34776,876492,30.64,3.9831019915509858,Among top gainers,412.179,431.922,392.435
DHFL,EQ,430.75,433.0,434.85,422.15,423.8,424.6,428.24,2238759,958716790.2,28924,602812,26.93,-1.4277423099245399,Negative,411.864,430.567,393.162
DHFL,EQ,424.6,426.8,433.9,422.25,433.8,431.45,428.56,2066575,885659061.55,27190,457660,22.15,1.6132830899670214,Positive,412.829,434.099,391.559
DHFL,EQ,431.45,435.0,438.0,430.4,433.6,434.45,434.23,2019357,876868807.1,22017,451099,22.34,0.6953297021671023,Slight positive,414.989,438.51,391.468
DHFL,EQ,434.45,434.7,437.8,432.65,435.3,435.7,435.56,1429383,622587953.5,16806,466865,32.66,0.2877201058810064,Slight or No change,417.254,442.273,392.234
DHFL,EQ,435.7,433.2,436.2,425.15,429.0,428.35,430.75,1379624,594274467.1,26398,434735,31.51,-1.6869405554280403,Negative,419.136,443.157,395.115
DHFL,EQ,428.35,429.6,444.25,429.1,439.55,440.1,439.05,3321654,1458365000.15,41823,933218,28.09,2.7430839266954665,Positive,422.318,444.622,400.014
DHFL,EQ,440.1,442.0,449.0,441.55,446.5,446.4,445.28,2551411,1136098515.4,34430,489987,19.2,1.4314928425357865,Positive,425.239,448.736,401.742
DHFL,EQ,446.4,446.0,464.7,443.4,464.7,463.25,457.28,4737401,2166328484.85,71522,1467727,30.98,3.774641577060933,Among top gainers,428.996,458.498,399.494
DHFL,EQ,463.25,464.0,466.6,451.1,452.7,454.8,458.71,2954283,1355149638.3,32086,1025700,34.72,-1.8240690771721524,Negative,432.129,462.67,401.587
DHFL,EQ,454.8,457.0,461.95,455.1,458.4,458.85,459.13,1791880,822712860.9,19516,618637,34.52,0.8905013192612055,Slight positive,435.464,466.797,404.132
DHFL,EQ,458.85,459.5,466.85,455.55,459.45,459.9,462.15,1881586,869579584.2,22681,423060,22.48,0.22883295194506825,Slight or No change,438.554,470.419,406.688
DHFL,EQ,459.9,458.1,465.4,457.6,461.1,461.2,462.28,1619491,748665790.95,22427,842739,52.04,0.28267014568383875,Slight or No change,441.718,473.116,410.32
DHFL,EQ,461.2,462.0,468.7,452.55,457.3,456.5,462.07,2461041,1137170594.45,43205,997511,40.53,-1.01908065915004,Negative,444.736,472.694,416.777
DHFL,EQ,456.5,457.95,458.1,436.0,440.7,439.8,442.98,2791780,1236712730.95,39621,790680,28.32,-3.658269441401973,Among top losers,445.382,472.349,418.416
DHFL,EQ,439.8,440.0,440.7,422.7,425.8,426.5,428.55,1939472,831153144.4,29067,512153,26.41,-3.0241018644838635,Among top losers,445.518,472.049,418.986
DHFL,EQ,426.5,423.5,435.0,417.85,428.0,427.85,427.72,1953283,835465707.9,20884,541618,27.73,0.3165298944900474,Slight or No change,445.261,472.441,418.08
DHFL,EQ,427.85,428.75,442.0,428.75,437.4,436.2,436.68,2107207,920173664.05,25842,355323,16.86,1.9516185579057987,Positive,445.386,472.368,418.404
DHFL,EQ,436.2,436.95,439.5,430.0,436.5,437.2,435.84,1646879,717769327.05,24761,489505,29.72,0.2292526364053193,Slight or No change,445.493,472.321,418.665
DHFL,EQ,437.2,437.2,445.5,437.2,443.15,442.45,442.4,1227960,543248911.7,16702,461260,37.56,1.2008234217749214,Positive,446.5,471.556,421.444
DHFL,EQ,442.45,443.05,446.45,432.15,436.3,435.95,438.04,1333859,584277160.2,18814,416523,31.23,-1.4690925528308307,Negative,446.204,471.68,420.727
DHFL,EQ,435.95,438.0,438.8,433.6,435.75,435.8,435.88,1210598,527673593.85,23646,482080,39.82,-0.03440761555223437,Slight or No change,445.446,471.521,419.372
DHFL,EQ,435.8,436.0,442.15,435.8,437.05,437.9,439.77,1242291,546324106.85,33297,459568,36.99,0.4818724185406076,Slight or No change,443.636,467.838,419.434
DHFL,EQ,437.9,436.95,438.95,434.5,435.15,435.55,436.16,760038,331501468.55,13828,234649,30.87,-0.5366522036994725,Slight negative,442.261,465.912,418.61
DHFL,EQ,435.55,435.95,471.0,435.95,437.5,437.05,437.81,160422,70234701.8,2814,67370,42.0,0.3443921478590184,Slight or No change,440.704,462.443,418.964
DHFL,EQ,437.05,438.9,446.5,435.0,436.5,437.45,441.49,1517250,669853461.7,21319,528288,34.82,0.0915227090721782,Slight or No change,439.1,457.845,420.355
